index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
9624,Look Who's Talking Now!,en,05/11/1993,12.893,5.4,931,"When Samantha LeBon hatches a scheme to spend a romantic Christmas with her new employee -- the unsuspecting, blithesome James -- his wife, their kids and their two dogs, Rocks and Daphne, must rescue him before he makes a terrible mistake.",
9625,Out of Death,en,16/07/2021,12.892,5.7,208,"As Shannon, a woman who wants to put her father's ashes away in the woods witnesses a corrupt cop dealing drugs with a junkie, she has to try and run away after she gets rampaged by two discreditable cops after they see her taking secret photographs of their crime maneuver. They then do a cat-and-mouse game around the woods as Shannon teams up with a retired sheriff along the way for more reinforcement. It's just a diversion of survival and egalitarianism.",
9626,With Aunt It's Not a Sin,it,23/12/1980,12.891,6,15,"The rich Gloria, resident for years in the United States, returns to live in her native country in Sicily, where she is welcomed by her sister-in-law, widow Antonia and her son Saro. The beautiful Gloria does not fail to arouse particular interest in the inhabitants of the place, especially in a building speculator, the engineer De Vita, who intends at all costs to get hold Gloria's land. She will be able to seduce the man, and then allow herself to the sister-in-law and the nephew before leaving for the USA.",
9627,Twist,en,22/01/2021,12.89,6,168,"A Dickens classic brought thrillingly up to date in the teeming heartland of modern London, where a group of street smart young hustlers plan the heist of the century for the ultimate payday.",
9628,Step Sisters,en,19/01/2018,12.89,6.4,435,"Jamilah has her whole life figured out. She's the president of her black sorority, captain of their champion step dance crew, is student liaison to the college dean, and her next move is on to Harvard Law School. She's got it all, right? But when the hard-partying white girls from Sigma Beta Beta embarrass the school, Jamilah is ordered to come to the rescue. Her mission is to not only teach the rhythmically-challenged girls how to step dance, but to win the Steptacular, the most competitive of dance competitions. With the SBBs reputations and charter on the line, and Jamilah's dream of attending Harvard in jeopardy, these outcast screw-ups and their unlikely teacher stumble through one hilarious misstep after another. Cultures clash, romance blossoms, and sisterhood prevails as everyone steps out of their comfort zones.",
9629,The Forbidden,en,07/11/1966,12.889,3.7,3,"This documentary explores assorted ""forbidden"" topics from all over the world. Among the subjects depicted herein are a racy TV commercial for a female martial arts school, rowdy teenagers protesting a strict curfew on the Sunset Strip, an underground lesbian club in Geneva, a portable topless bar, and various strip acts from different parts of the globe.",
9630,First Snow,en,05/05/2006,12.889,6.1,144,A psychic's ominous reading sends a man into a tailspin.,
9631,The Lair of the White Worm,en,21/09/1988,12.889,5.8,199,"When an archaeologist uncovers a strange skull in a foreign land, the residents of a nearby town begin to disappear, leading to further inexplicable occurrences.",
9632,Bruised,en,12/09/2020,12.888,6.9,406,"Jackie Justice is a mixed martial arts fighter who leaves the sport in disgrace. Down on her luck and simmering with rage and regret years after the fight, she's coaxed into a brutal underground fight by her manager and boyfriend Desi and grabs the attention of a fight league promoter who promises Jackie a life back in the Octagon. But the road to redemption becomes unexpectedly personal when Manny - the son she gave up as an infant - shows up at her doorstep. A triumphant story of a fighter who reclaims her power, in and out of the ring, when everyone has counted her out",
9633,Super Bodyguard,zh,22/04/2021,12.887,6,2,,
9634,Valley Girl,en,08/05/2020,12.887,5.9,76,"Set to a new wave '80s soundtrack, a pair of young lovers from different backgrounds defy their parents and friends to stay together.",
9635,My Wife,it,29/10/1964,12.887,6.1,9,"Five comedic episodes, all starring Alberto Sordi and Silvana Mangano.",
9636,Frequently Asked Questions About Time Travel,en,24/04/2009,12.887,6.9,527,Follows three social outcasts -- two geeks and a cynic -- as they attempt to navigate a time-travel conundrum in the middle of a British pub. Faris plays a girl from the future who sets the adventure in motion.,
9637,Camp Rock,en,20/06/2008,12.887,6.4,1984,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",
9638,Michael Clayton,en,12/10/2007,12.886,6.8,1519,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.",
9639,The Negotiation,ko,19/09/2018,12.885,7.1,117,An ace crisis negotiator attempts to figure out the real motivation of a man who has kidnapped two people and crack his calm demeanour.,
9640,Wonder Woman,en,03/03/2009,12.883,7.2,509,"On the mystical island of Themyscira, a proud and fierce warrior race of Amazons have raised a daughter of untold beauty, grace and strength: Princess Diana. When an Army fighter pilot, Steve Trevor, crash-lands on the island, the rebellious and headstrong Diana defies Amazonian law by accompanying Trevor back to civilization.",
9641,Glengarry Glen Ross,en,15/09/1992,12.883,7.4,1157,"When an office full of Chicago real estate salesmen is given the news that all but the top two will be fired at the end of the week, the atmosphere begins to heat up. Shelley Levene, who has a sick daughter, does everything in his power to get better leads from his boss, John Williamson, but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads, things get complicated for the tough-talking salesmen.",
9642,A Score to Settle,en,01/08/2019,12.882,6,441,A former mob enforcer who is released from prison after serving 22 years for a crime he didn't commit sets out on a path for revenge against the people who wronged him.,
9643,The Anomaly,en,19/06/2014,12.881,4.9,299,A former soldier is taken captive and awakens in the back of a van where he learns that he only has less than 10 minutes to figure out how he got there.,
9644,Timecrimes,es,05/10/2007,12.881,7,1113,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,
9645,When a Stranger Calls,en,03/02/2006,12.879,5.7,952,"Far away from the site of a gruesome murder, a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep, she settles in for what she expects to be an ordinary evening. Soon, the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror.",
9646,Ginger Snaps,en,01/08/2000,12.877,6.8,750,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself.",
9647,Main Hoon Na,hi,30/04/2004,12.876,6.9,219,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",
9648,Balto III: Wings of Change,en,14/04/2004,12.875,6.7,304,"Balto and the other sled dogs are feeling dejected because the mail that used to be delivered by dogsled is now being delivered by airplanes. But when a mail plane crashes in the mountains, the dogs come to the rescue.",
9649,Shadow of a Doubt,en,15/01/1943,12.875,7.5,896,"Just when Charlotte â€˜Charlieâ€™ Newton, is feeling especially frustrated by the lack of excitement in her small town in California, she receives wonderful news: Her uncle and namesake, Charlie Oakley, is coming to visit. However, as secrets about him come to the fore, Charlotteâ€™s admiration turns into suspicion.",
9650,The Guard,en,07/07/2011,12.874,7,1065,"When a small-town Irish cop with a crass personality is partnered with a straight-laced FBI agent to bust an international drug-trafficking ring, they must settle their differences in order to take down a dangerous gang.",
9651,Doubt,en,27/02/2008,12.874,7.2,1528,"In 1964, a Catholic school nun questions a priest's ambiguous relationship with a troubled young student, suspecting him of abuse.",
9652,Independence Daysaster,en,27/06/2013,12.873,4.5,72,"When Earth is attacked by a hostile alien force, a small town firefighter and a rogue SETI scientist team up to activate the only technology capable of defeating the invaders.",
9653,The Zero Theorem,en,20/09/2013,12.873,6.1,1091,"A computer hacker's goal to discover the reason for human existence continually finds his work interrupted thanks to the Management; this time, they send a teenager and lusty love interest to distract him.",
9654,Sugar,en,18/11/2022,12.871,5,14,"Inspired by the dramatic true story of the Cocaine Cowgirls, Sugar follows two young Canadian women who get caught up in a major drug smuggling operation aboard a luxury cruise ship sailing around the world. With nowhere to runâ€”the walls close in on them.",
9655,The Genesis Children,en,01/08/1972,12.871,5.4,9,"A charismatic leader and a high-spirited student group are on holiday in Italy. The surreal adventures of these friends are a free-flowing, four-part ""multi-sensual symphony,"" bereft of traditional story line. One national critic described the boys' anarchic revelry as a ""dream-like descent from civilization into the chaos reminiscent of Lord of the Flies.""",
9656,The Hound of the Baskervilles,en,24/03/1939,12.871,7.1,167,"On his uncle's death Sir Henry Baskerville returns from Canada to take charge of his ancestral hall on the desolate moors of Devonshire, and finds that Sherlock Holmes is there to investigate the local belief that his uncle was killed by a monster hound that has roamed the moors since 1650, and is likely to strike again at Sir Henry.",
9657,Taurus,en,18/11/2022,12.87,7.1,15,"A rising but troubled musician searches for the inspiration to record one last song, pushing himself deep into the void.",
9658,The Operative,en,24/07/2019,12.87,5.9,182,A young Western woman is recruited by the Mossad to go undercover in Tehran where she becomes entangled in a complex triangle with her handler and her subject.,
9659,The Fall of the Roman Empire,en,24/03/1964,12.868,6.5,165,"In the year 180 A.D. Germanic tribes are about to invade the Roman empire from the north. In the midst of this crisis ailing emperor Marcus Aurelius has to make a decission about his successor between his son Commodus, who is obsessed by power, and the loyal general Gaius Livius.",
9660,"Remi, Nobody's Boy",fr,12/12/2018,12.867,7.9,383,"At the age of 10 years, young RÃ©mi is snatched from his adoptive mother and entrusted to the signor Vitalis, a mysterious itinerant musician. Has its hard sides - he will learn the harsh life of acrobat and sing to win his bread. Accompanied by the faithful dog capi and of the small monkey Joli-Coeur, his long trip through France, made for meetings, friendships and mutual assistance, leads him to the secret of its origins.",
9661,Front of the Class,en,07/12/2008,12.866,7.8,196,A boy with Tourette's syndrome overcomes criticism and discrimination to achieve his dream of becoming a teacher.,
9662,Another Earth,en,22/07/2011,12.866,6.7,1462,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",
9663,Lawa,tl,03/03/2023,12.864,2,1,A young videographer uses his camera to capture intimate moment of lovers visiting a beautiful and peaceful lake. He uses the captured videos for his own benefit of earning cash. It's just a matter of time until his dark practice will be revealed and dealt with accordingly.,
9664,S.M.A.R.T. Chase,en,30/09/2017,12.863,5,94,A washed-up private security agent has to escort a valuable Chinese antique out of Shanghai but is ambushed en route.,
9665,The Master,en,07/09/2012,12.863,7.2,2686,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.",
9666,Fat Girl,fr,07/03/2001,12.863,6.2,183,"AnaÃ¯s is twelve and bears the weight of the world on her shoulders. She watches her older sister, Elena, whom she both loves and hates. Elena is fifteen and devilishly beautiful. Neither more futile, nor more stupid than her younger sister, she cannot understand that she is merely an object of desire. And, as such, she can only be taken. Or had. Indeed, this is the subject: a girl's loss of virginity. And, that summer, it opens a door to tragedy.",
9667,Spontaneous,en,02/10/2020,12.862,6.9,471,"When students in their high school begin inexplicably exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.",
9668,Cats Don't Dance,en,26/03/1997,12.862,7.2,162,"Danny, an ambitious singing and dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star.",
9669,It Comes at Night,en,09/06/2017,12.86,5.8,2149,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.",
9670,"The Long, Hot Summer",en,17/05/1958,12.86,7,172,"Accused barn burner and conman Ben Quick arrives in a small Mississippi town and quickly ingratiates himself with its richest family, the Varners.",
9671,Angel's Egg,ja,22/12/1985,12.86,7.7,340,"In a desolate and dark world full of shadows, lives one little girl who seems to do nothing but collect water in jars and protect a large egg she carries everywhere. A mysterious man enters her life... and they discuss the world around them.",
9672,The Cursed: Dead Man's Prey,ko,28/07/2021,12.858,7.7,109,"Following a brutal murder case, the police are baffled to find out that the assailant, whose body was found on the scene with the victim, had already been dead for three months. Meanwhile, journalist Jin-hee sets up a live interview with an anonymous caller claiming he is the true killer behind the mysterious murder. When the man announces three more murders will occur in the hands of the undead, Jin-hee must face the sinister forces beyond understanding.",
9673,Girl/Girl Scene: The Movie,en,28/02/2019,12.858,4,12,The lives and loves of a close-knit group of young gay ladies as they make their way in a not-so-modern world.,
9674,The Passion of Joan of Arc,fr,21/04/1928,12.858,8,802,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",
9675,The Love Bug,en,29/11/1997,12.856,5.4,113,"The inimitable VW Beetle is losing all his races and destined for the scrap heap until mechanic Hank takes him over and gives him a new lease of life. Soon, Herbie is winning again, to the fury of his previous owner, who builds a menacing black bug to challenge Herbie to the ultimate race.",
9676,Gone Baby Gone,en,18/09/2007,12.856,7.3,3351,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasonsâ€”they're not cops and they know the tough neighborhood in which they all live.",
9677,Blueback,en,29/12/2022,12.855,7.3,18,"Based on the best-selling novel by Tim Winton, Blueback is a timely tale about the ocean, a beautiful marine creature, and a young girlâ€™s power to change the world.",
9678,Emperor,en,14/09/2012,12.855,6.1,222,"As the Japanese surrender at the end of WWII, Gen. Fellers is tasked with deciding if Emperor Hirohito will be hanged as a war criminal. Influencing his ruling is his quest to find Aya, an exchange student he met years earlier in the U.S.",
9679,Beginners,en,16/09/2010,12.855,6.8,942,"Oliver meets the irreverent and unpredictable Anna only months after his father Hal Fields has passed away. This new love floods Oliver with memories of his father, who, following the death of his wife of 44 years, came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life â€“ which included a younger boyfriend.",
9680,Messengers 2: The Scarecrow,en,21/07/2009,12.855,5.3,141,"The family man farmer John Rollins is stressed with his financial situation: the crows and the lack of irrigation are destroying his crop of corn; the bank is near closure of his mortgage; he does not have credit to fix the water pump or to buy seeds; and his marriage is in crisis and his wife Mary is giving too much attention to her friend Tommy. When John accidentally discovers a hidden compartment in the barn, he finds a creepy scarecrow but his son Michael makes him promise to destroy it. However, his neighbor Jude Weatherby visits him, gives a six-pack of beer to the abstemious John and convinces him to put the scarecrow in the cornfield. Out of the blue, the life of John changes: the crows die; the pump works again irrigating the land; and the banker responsible for the closure has an accident and dies. However, he feels that his land is possessed by something evil that is threatening his beloved family.",
9681,Young Sister-In-Law,ko,27/09/2016,12.854,4,1,"Three men and women start living together. Byeong-soo is chosen in a scenario contest and is picked to write a script for a movie, so he leaves the noisy city and moves in with his married senior from school. At the house is Ji-eun, the senior's wife and a young and sexy Bo-yeong.  The three living together leads to some risky situations!",
9682,Proof,en,05/09/2005,12.854,6.3,601,"Catherine is a woman in her late twenties who is strongly devoted to her father, Robert, a brilliant and well-known mathematician whose grip on reality is beginning to slip away. As Robert descends into madness, Catherine begins to wonder if she may have inherited her father's mental illness along with his mathematical genius.",
9683,Disturbing Behavior,en,24/07/1998,12.854,5.7,309,"Steve Clark is a newcomer in the town of Cradle Bay, and he quickly realizes that there's something odd about his high school classmates. The clique known as the ""Blue Ribbons"" are the eerie embodiment of academic excellence and clean living. But, like the rest of the town, they're a little too perfect. When Steve's rebellious friend Gavin mysteriously joins their ranks, Steve searches for the truth with fellow misfit Rachel.",
9684,Tom and Jerry Meet Sherlock Holmes,en,24/08/2010,12.853,6.4,72,"Tom and Jerry need to learn to work together in order to help Sherlock Holmes with an investigation of a jewel theft. But still, they are cat and mouse!",
9685,Ronal the Barbarian,da,27/09/2011,12.852,6.1,242,"Ronal is a young barbarian with low self-esteem, the polar opposite of all the muscular barbarians in his village. He's a real wuss. However, as fate would have it, responsibility for the tribe's survival falls on Ronal's scrawny shoulders, when the evil Lord Volcazar raids the village and abducts every living barbarian with the exception of Ronal, who is forced to go on a perilous quest to save his enslaved clan and thwart Volcazarâ€™s plot to rule the world. Along the way, our unlikely hero is joined by Alibert the buttery bard, Zandra the gorgeous shield-maiden and Elric the metrosexual elfin guide. To ultimately vanquish the enemy, the band must overcome awesome challenges.",
9686,Be with You,ko,14/03/2018,12.849,8.3,175,"Along with his young son, Ji-ho, Woo-jin misses his wife Soo-a, who died after promising to return a year later with the rainy season. Miraculously, they reunite with Soo-a when the rainy season comes around, but she has no memory of her husband and son whom she dearly loved.",
9687,Down a Dark Hall,en,01/08/2018,12.847,5.5,624,"Kit, a troubled girl, is sent to the exclusive Blackwood boarding school, where she discovers that only four other female students have been admitted to learn the four pillars of knowledge under the ominous wing of the mysterious headmistress Madame Duret.",
9688,City of Women,it,28/03/1980,12.847,7,232,A businessman finds himself trapped at a hotel and threatened by women en masse.,
9689,Pride,en,12/09/2014,12.846,7.7,1201,"In 1984, a group of LGBT activists decide to raise money to support the National Union of Mineworkers during their lengthy strike. There is only one problem: the Union seems embarrassed to receive their support.",
9690,Beethoven's Christmas Adventure,en,08/11/2011,12.846,6,127,"A Christmas elf accidentally takes off in Santa's sleigh, crash lands in a small town, and loses the magic toy bag. Beethoven must rescue the elf, recover the bag from greedy crooks, and return the sleigh to Santa in time to save Christmas.",
9691,The Fly,en,16/07/1958,12.846,7,468,"Industrialist FranÃ§ois Delambre is called late at night by his sister-in-law, Helene Delambre, who tells him that she has just killed her husband, AndrÃ©. Reluctant at first, she eventually explains to the police that AndrÃ© invented a matter transportation apparatus and, while experimenting on himself, a fly entered the chamber during the matter transference.",
9692,Thesis,es,11/04/1996,12.845,7.4,719,"While doing a thesis about violence, ÃÅngela finds a snuff video where a girl is tortured to death. Soon she discovers that the girl was a former student at her college...",
9693,Breakheart Pass,en,09/12/1975,12.845,6.6,157,"At the height of the frontier era, a train races through the Rocky Mountains on a classified mission to a remote army post. But one by one the passengers are being murdered, and their only hope is the mysterious John Deakin, who's being transported to face trial for murder.",
9694,"Love, Guaranteed",en,02/09/2020,12.844,6.4,596,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,
9695,Kidnapping Stella,de,29/06/2019,12.844,5.3,391,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans.",
9696,American Ultra,en,19/08/2015,12.84,6.1,2588,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",
9697,The Tinder Swindler,en,02/02/2022,12.838,7,851,"Posing as a wealthy, jet-setting diamond mogul, an Israeli conman wooed women online then conned them out of millions of dollars. Now some victims plan for payback.",
9698,Mirreyes contra GodÃ?nez 2: El retiro,es,21/07/2022,12.836,7.5,100,,
9699,The Girl Who Believes in Miracles,en,02/04/2021,12.835,7.5,92,"When Sara hears a preacher say faith can move mountains, she starts praying. Suddenly people in her town are mysteriously healed! But fame soon takes its toll â€“ can Saraâ€™s family save her before itâ€™s too late?",
9700,Dangerous Younger Cousin,ko,23/11/2021,12.833,10,2,"Hyang-gi hates her mother who only likes men and doesn't take care of herself. She brings a man to her house to sleep over so her mom will find her crooked. To correct Hyang-gi, she asked Do-hwan, Hyang-giâ€™s cousin, to live with her at home for a while. Hyang-gi and Do-hwan, who were reunited as adults, grew very attracted to each other. Chae-kyeong, Do-hwan's girlfriend, finds out about it. After revealing the truth in front of everyone, Hyang-gi and Do-hwan are on the verge of breaking up.",
9701,Insomnia,no,14/03/1997,12.833,7,225,"Detectives Jonas and Erik are called to the midnight sun country of northern Norway to investigate a recent homicide, but their plan to arrest the killer goes awry, and Jonas mistakenly shoots Erik. The suspect escapes, and a frightened Jonas pins Erik's death on the fugitive. Jonas continues to pursue the killer as he seeks to protect himself; however, his mounting guilt and the omnipresent sun plague him with an insomnia that affects his sanity.",
9702,Challengers,en,25/04/2024,12.832,0,0,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous grand slam champion. To jolt him out of his recent losing streak, she makes him play a â€œChallengerâ€ù event â€” close to the lowest level of pro tournament â€” where he finds himself standing across the net from his former best friend and Tashiâ€™s former boyfriend.",
9703,Liz and the Blue Bird,ja,21/04/2018,12.832,7.3,87,"Mizore Yoroizuka plays the oboe, and Nozomi Kasaki plays the flute in Kitauji High School concert band. As seniors, this will be their last competition together, and the selected piece ""Liz and the Blue Bird"" features a duet for the oboe and flute. ""This piece reminds me of us."" Nozomi says cheerfully, enjoying the solo, while Mizore's usual happiness to play with Nozomi is tinged with the dread of their inevitable parting. By all accounts the girls are best friends, but the oboe and flute duet sounds disjointed, as if underscoring a growing distance between them. Talk of college creates a small rift in their relationship, as the story evolves to reveal a shocking and emotional conclusion.",
9704,Some: An Erotic Tale,ko,13/04/2017,12.832,9.5,2,"Bomi is a friendly broadcasting writer. She has a boyfriend named Jeong-nam who just graduated from law school, but they're not on very good terms right now. Their sex isn't fun either.  Then one day, Bomi's friend suggests she joins the adult version of ""Pairs"" and starts having affairs with different people.  Man 1,2 and 3 and woman 1,2 and 3 check each other out but jealousy gets the best of them and they step over the line.",
9705,Bright Young Things,en,03/10/2003,12.831,6.3,68,"During the 1930s in England, a group of young socialites dominate the national gossip with extravagant and outlandish antics. Among the group is the aspiring novelist Adam Fenwick-Symes, who is attempting to raise enough money to marry fellow member Nina Blount. However, after customs officials confiscate his first manuscript, Fenwick-Symes must recover from the financial setback and figure out new ways to earn money for a wedding.",
9706,The Santa Clause 2,en,31/10/2002,12.83,5.9,1162,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.",
9707,Dinosaur Hotel,en,11/06/2021,12.829,5.2,67,"Sienna is desperate to win a large cash prize in a secret underground game show. However, Dinosaur's begin to hunt her down for the entertainment of the rich and wealthy. Can she be the last to survive the horrific night to win the prize?",
9708,Murder in the First,en,20/01/1995,12.829,7.2,504,"Inspired by a true story. A petty criminal sent to Alcatraz in the 1930s is caught attempting to make an escape. As punishment he is put in solitary confinement. The maximum stay is supposed to be 19 days, but Henri spends years alone, cold and in complete darkness, only to emerge a madman and soon to be a murderer. The story follows a rookie lawyer attempting to prove that Alcatraz was to blame.",
9709,Bionicle: The Legend Reborn,en,24/08/2009,12.828,5.7,111,"Once the ruler of an entire universe, the Great Spirit Mata Nui finds himself cast out of his own body, his spirit trapped inside the fabled Mask of Life, hurtling through space. After landing on the far-away planet of Bara Magna, the mask creates a new body for Mata Nui, who unwillingly gets caught up in the furious battles of the nearly barren and dangerous planet.",
9710,Backdraft 2,en,14/05/2019,12.827,6.5,161,"Years after the original Backdraft, Sean, son of the late Steve ""Bull"" McCaffrey, is assigned to investigate a deadly fire only to realize it is something much more sinister.",
9711,Trust,en,10/09/2010,12.826,6.6,863,"A suburban family is torn apart when fourteen-year-old Annie meets her first boyfriend online. After months of communicating via online chat and phone, Annie discovers her friend is not who he originally claimed to be. Shocked into disbelief, her parents are shattered by their daughter's actions and struggle to support her as she comes to terms with what has happened to her once innocent life.",
9712,Evangelion: Death (True)Â?,ja,07/03/1998,12.825,6.8,68,"A highly experimental film presenting a story out of chronological order taking place 15 years after a near-apocalyptic catastrophe, about four traumatized 14 year olds who are tasked with piloting massive humanoid decisive weapons called Evangelion, the psychologically maladjusted adults who handle and command them, and the events and forces that affect them or which they take part in as they engage massive hostile invaders known as ""Angels.""",
9713,Deception,en,24/04/2008,12.824,5.9,582,"As a corporate auditor who works in a number of different offices, Jonathan McQuarry wanders without an anchor among New York's power brokers. A chance meeting with charismatic lawyer Wyatt Bose leads to Jonathan's introduction to The List, an underground sex club. Jonathan begins an affair with a woman known only as S, who introduces Jonathan to a world of treachery and murder.",
9714,Monster Hunt,zh,16/07/2015,12.822,6.5,308,Young monster kids try to make peace between the world of humans and the world of the monsters.,
9715,Landmine Goes Click,en,03/03/2015,12.822,5.6,101,"After an American tourist steps on a landmine, he is forced to watch his girlfriend get assaulted.",
9716,Delicatessen,fr,17/04/1991,12.822,7.3,1263,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",
9717,Made in Abyss: Journey's Dawn,ja,04/01/2019,12.82,7.8,38,"First compilation movie of the TV series which covers episodes 1-8 with new scenes added for the introduction. It covers the period from when Riko descends into the Abyss with her robot companion Reg, reaching the second layer where they meet the White Whistle Ozen who reveals information about Riko's mother.",
9718,Goodbye Christopher Robin,en,29/09/2017,12.82,7,755,The behind the scenes story of the life of A.A. Milne and the creation of the Winnie the Pooh stories inspired by his son Christopher Robin.,
9719,Fort Apache,en,14/06/1948,12.82,7,310,"Owen Thursday sees his new posting to the desolate Fort Apache as a chance to claim the military honour which he believes is rightfully his. Arrogant, obsessed with military form and ultimately self-destructive, he attempts to destroy the Apache chief Cochise after luring him across the border from Mexico, against the advice of his subordinates.",
9720,Two Queens and One Consort,nl,01/10/1981,12.819,6,13,"At the deathbed of his used-to-be militant mother an older man looks back at his childhood, when he was in love with his sensual aunt Coleta.",
9721,The Lizzie McGuire Movie,en,02/05/2003,12.819,6.3,1174,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",
9722,The Taming of the Scoundrel,it,20/12/1980,12.819,7.1,415,"A rich farmer is well known for being very unkind. He's misanthropic, misogynous and cantankerous. Until he meets by chance a gorgeous girl...",
9723,Rock Star,en,04/09/2001,12.817,6.7,659,"A wannabe rock star who fronts a Pennsylvania-based tribute band is devastated when his kick him out of the group he founded. Things begin to look up for Izzy when he is asked to join Steel Dragon, the heavy metal rockers he had been imitating for so long. This film is loosely based on the true story of the band Judas Priest.",
9724,Family Plot,en,09/04/1976,12.817,6.7,391,Spiritualist Blanche Tyler and her taxi driver/unemployed actor boyfriend encounter a pair of serial kidnappers while trailing a missing heir in California.,
9725,Maghrib Time,id,09/02/2023,12.813,6.4,16,"A terror chases the souls of Adi and Saman. Ayu knows the reason as to why they are tormented - a sin committed at the most dangerous time of Maghrib Time. What sin have they committed and what will happen to Adi, Saman, Ayu and their village?",
9726,12 Rounds 2: Reloaded,en,01/06/2013,12.813,5.5,254,"Nick Malloy portrays an Emergency Medical Technician (EMT) who finds himself caught in a deadly 12-round game of cat and mouse with a vigilante tied to the paramedic's past. With little time to spare and his wife's life hanging in the balance, the EMT must figure out why he's been chosen to be the pawn in this maniac's game before it's too late.",
9727,Dark Water,en,08/07/2005,12.811,5.6,908,"Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. Dahlia is in the midst of divorce proceedings, and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrencesâ€”and there is a constant drip from the ceiling in her daughter's bedroomâ€?",
9728,Black Beauty,en,27/11/2020,12.81,8,307,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",
9729,Tully,en,04/05/2018,12.81,6.8,1314,"Marlo, a mother of three, including a newborn, is gifted a night nanny by her brother. Hesitant at first, she quickly forms a bond with the thoughtful, surprising, and sometimes challenging nanny named Tully.",
9730,Snatched,en,03/05/2017,12.809,5.4,742,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.",
9731,In Darkness,en,25/05/2018,12.808,6.1,439,A blind musician hears a murder committed in the apartment upstairs from hers that sends her down a dark path into London's gritty criminal underworld.,
9732,Vampires,en,30/10/1998,12.807,6.3,1097,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,
9733,High Society,ko,29/08/2018,12.806,5.7,41,"The story of the journey of married couple up the social latter. The husband is professor at Seoul National University who is running for the National Assembly, and his wife is a painter.",
9734,Thunderbolt and Lightfoot,en,23/05/1974,12.804,6.8,444,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organise a daring new heist.",
